commodity,date,price
AGRA(UP),2008-06-01,341
AGRA(UP),2009-06-01,609
AGRA(UP),2010-06-01,680
AGRA(UP),2011-06-01,562
AGRA(UP),2012-06-01,583
AGRA(UP),2013-06-01,1047
AGRA(UP),2014-06-01,1172
AGRA(UP),2015-06-01,1623
AGRA(UP),2005-07-01,350
AGRA(UP),2006-07-01,396
AGRA(UP),2007-07-01,962
AGRA(UP),2008-07-01,495
AGRA(UP),2009-07-01,679
AGRA(UP),2010-07-01,846
AGRA(UP),2011-07-01,808
AGRA(UP),2012-07-01,716
AGRA(UP),2013-07-01,1652
AGRA(UP),2014-07-01,1846
AGRA(UP),2015-07-01,2275
AGRA(UP),2005-08-01,501
AGRA(UP),2006-08-01,420
AGRA(UP),2007-08-01,1132
AGRA(UP),2008-08-01,719
AGRA(UP),2009-08-01,783
AGRA(UP),2010-08-01,891
AGRA(UP),2011-08-01,1003
AGRA(UP),2012-08-01,775
AGRA(UP),2013-08-01,3365
AGRA(UP),2014-08-01,1802
AGRA(UP),2015-08-01,3283
AGRA(UP),2005-09-01,894
AGRA(UP),2006-09-01,496
AGRA(UP),2007-09-01,1384
AGRA(UP),2008-09-01,843
AGRA(UP),2009-09-01,851
AGRA(UP),2010-09-01,1213
AGRA(UP),2011-09-01,1331
AGRA(UP),2012-09-01,766
AGRA(UP),2013-09-01,4225
AGRA(UP),2014-09-01,1675
AGRA(UP),2015-09-01,4318
AGRA(UP),2005-10-01,1267
AGRA(UP),2006-10-01,534
AGRA(UP),2007-10-01,1405
AGRA(UP),2008-10-01,847
AGRA(UP),2009-10-01,1272
AGRA(UP),2010-10-01,1411
AGRA(UP),2011-10-01,1381
AGRA(UP),2012-10-01,827
AGRA(UP),2013-10-01,4280
AGRA(UP),2014-10-01,1775
AGRA(UP),2015-10-01,3642
AGRA(UP),2005-11-01,1119
AGRA(UP),2006-11-01,511
AGRA(UP),2007-11-01,1035
AGRA(UP),2008-11-01,963
AGRA(UP),2009-11-01,1316
AGRA(UP),2010-11-01,1616
AGRA(UP),2011-11-01,1042
AGRA(UP),2012-11-01,1085
AGRA(UP),2013-11-01,3631
AGRA(UP),2014-11-01,1675
AGRA(UP),2015-11-01,2832
AGRA(UP),2005-12-01,760
AGRA(UP),2006-12-01,534
AGRA(UP),2007-12-01,728
AGRA(UP),2008-12-01,1089
AGRA(UP),2009-12-01,1242
AGRA(UP),2010-12-01,2283
AGRA(UP),2011-12-01,788
AGRA(UP),2012-12-01,1274
AGRA(UP),2013-12-01,1878
AGRA(UP),2014-12-01,1623
AGRA(UP),2015-12-01,1857
AHMEDABAD(GUJ),2005-01-01,332
AHMEDABAD(GUJ),2006-01-01,386
AHMEDABAD(GUJ),2008-01-01,415
AHMEDABAD(GUJ),2009-01-01,1250
AHMEDABAD(GUJ),2010-01-01,1202
AHMEDABAD(GUJ),2011-01-01,2550
AHMEDABAD(GUJ),2012-01-01,520
AHMEDABAD(GUJ),2013-01-01,1490
AHMEDABAD(GUJ),2014-01-01,1233
AHMEDABAD(GUJ),2015-01-01,1158
AHMEDABAD(GUJ),2016-01-01,997
AHMEDABAD(GUJ),2005-02-01,281
AHMEDABAD(GUJ),2006-02-01,253
AHMEDABAD(GUJ),2008-02-01,375
AHMEDABAD(GUJ),2009-02-01,1060
AHMEDABAD(GUJ),2010-02-01,1060
AHMEDABAD(GUJ),2011-02-01,974
AHMEDABAD(GUJ),2012-02-01,405
AHMEDABAD(GUJ),2013-02-01,1541
AHMEDABAD(GUJ),2014-02-01,833
AHMEDABAD(GUJ),2015-02-01,1630
AHMEDABAD(GUJ),2016-02-01,830
AHMEDABAD(GUJ),2005-03-01,289
AHMEDABAD(GUJ),2006-03-01,243
AHMEDABAD(GUJ),2007-03-01,750
AHMEDABAD(GUJ),2008-03-01,417
AHMEDABAD(GUJ),2009-03-01,836
AHMEDABAD(GUJ),2010-03-01,730
AHMEDABAD(GUJ),2011-03-01,549
AHMEDABAD(GUJ),2012-03-01,495
AHMEDABAD(GUJ),2013-03-01,1127
AHMEDABAD(GUJ),2014-03-01,888
AHMEDABAD(GUJ),2015-03-01,1303
AHMEDABAD(GUJ),2005-04-01,301
AHMEDABAD(GUJ),2006-04-01,244
AHMEDABAD(GUJ),2008-04-01,343
AHMEDABAD(GUJ),2009-04-01,577
AHMEDABAD(GUJ),2010-04-01,545
AHMEDABAD(GUJ),2011-04-01,479
AHMEDABAD(GUJ),2012-04-01,516
AHMEDABAD(GUJ),2013-04-01,893
AHMEDABAD(GUJ),2014-04-01,841
AHMEDABAD(GUJ),2015-04-01,1135
AHMEDABAD(GUJ),2005-05-01,281
AHMEDABAD(GUJ),2006-05-01,215
AHMEDABAD(GUJ),2008-05-01,268
AHMEDABAD(GUJ),2009-05-01,506
AHMEDABAD(GUJ),2010-05-01,518
AHMEDABAD(GUJ),2011-05-01,470
AHMEDABAD(GUJ),2012-05-01,456
AHMEDABAD(GUJ),2013-05-01,840
AHMEDABAD(GUJ),2014-05-01,925
AHMEDABAD(GUJ),2015-05-01,1178
AHMEDABAD(GUJ),2005-06-01,289
AHMEDABAD(GUJ),2006-06-01,297
AHMEDABAD(GUJ),2008-06-01,370
AHMEDABAD(GUJ),2009-06-01,700
AHMEDABAD(GUJ),2010-06-01,630
AHMEDABAD(GUJ),2011-06-01,568
AHMEDABAD(GUJ),2012-06-01,525
AHMEDABAD(GUJ),2013-06-01,1350
AHMEDABAD(GUJ),2014-06-01,1202
AHMEDABAD(GUJ),2015-06-01,1630
AHMEDABAD(GUJ),2005-07-01,400
AHMEDABAD(GUJ),2006-07-01,325
AHMEDABAD(GUJ),2007-07-01,850
AHMEDABAD(GUJ),2008-07-01,558
AHMEDABAD(GUJ),2009-07-01,625
AHMEDABAD(GUJ),2010-07-01,750
AHMEDABAD(GUJ),2011-07-01,761
AHMEDABAD(GUJ),2012-07-01,600
AHMEDABAD(GUJ),2013-07-01,2128
AHMEDABAD(GUJ),2014-07-01,1780
AHMEDABAD(GUJ),2015-07-01,2004
AHMEDABAD(GUJ),2005-08-01,538
AHMEDABAD(GUJ),2007-08-01,900
AHMEDABAD(GUJ),2008-08-01,663
AHMEDABAD(GUJ),2009-08-01,674
AHMEDABAD(GUJ),2010-08-01,886
AHMEDABAD(GUJ),2011-08-01,950
AHMEDABAD(GUJ),2012-08-01,726
AHMEDABAD(GUJ),2013-08-01,3808
AHMEDABAD(GUJ),2014-08-01,1538
AHMEDABAD(GUJ),2015-08-01,3723
AHMEDABAD(GUJ),2005-09-01,888
AHMEDABAD(GUJ),2006-09-01,350
AHMEDABAD(GUJ),2008-09-01,611
AHMEDABAD(GUJ),2009-09-01,654
AHMEDABAD(GUJ),2010-09-01,1299
AHMEDABAD(GUJ),2011-09-01,1038
AHMEDABAD(GUJ),2012-09-01,659
AHMEDABAD(GUJ),2013-09-01,4494
AHMEDABAD(GUJ),2014-09-01,1422
AHMEDABAD(GUJ),2015-09-01,3840
AHMEDABAD(GUJ),2005-10-01,1238
AHMEDABAD(GUJ),2008-10-01,675
AHMEDABAD(GUJ),2009-10-01,1263
AHMEDABAD(GUJ),2010-10-01,1533
AHMEDABAD(GUJ),2011-10-01,873
AHMEDABAD(GUJ),2012-10-01,857
AHMEDABAD(GUJ),2013-10-01,3640
AHMEDABAD(GUJ),2014-10-01,1444
AHMEDABAD(GUJ),2015-10-01,2594
AHMEDABAD(GUJ),2005-11-01,963
AHMEDABAD(GUJ),2006-11-01,517
AHMEDABAD(GUJ),2007-11-01,900
AHMEDABAD(GUJ),2008-11-01,950
AHMEDABAD(GUJ),2009-11-01,1391
AHMEDABAD(GUJ),2010-11-01,1783
AHMEDABAD(GUJ),2011-11-01,901
AHMEDABAD(GUJ),2012-11-01,1171
AHMEDABAD(GUJ),2013-11-01,3451
AHMEDABAD(GUJ),2014-11-01,1217
AHMEDABAD(GUJ),2015-11-01,1850
AHMEDABAD(GUJ),2005-12-01,664
AHMEDABAD(GUJ),2006-12-01,788
AHMEDABAD(GUJ),2007-12-01,575
AHMEDABAD(GUJ),2008-12-01,1121
AHMEDABAD(GUJ),2009-12-01,1314
AHMEDABAD(GUJ),2010-12-01,2603
AHMEDABAD(GUJ),2011-12-01,742
AHMEDABAD(GUJ),2012-12-01,1313
AHMEDABAD(GUJ),2013-12-01,1686
AHMEDABAD(GUJ),2014-12-01,1733
AHMEDABAD(GUJ),2015-12-01,1364
AHMEDNAGAR(MS),2002-01-01,212
AHMEDNAGAR(MS),2004-01-01,618
AHMEDNAGAR(MS),2005-01-01,266
AHMEDNAGAR(MS),2006-01-01,261
AHMEDNAGAR(MS),2007-01-01,795
AHMEDNAGAR(MS),2008-01-01,428
AHMEDNAGAR(MS),2009-01-01,1117
AHMEDNAGAR(MS),2010-01-01,1093
AHMEDNAGAR(MS),2011-01-01,3500
AHMEDNAGAR(MS),2012-01-01,325
AHMEDNAGAR(MS),2014-01-01,696
AHMEDNAGAR(MS),2015-01-01,999
AHMEDNAGAR(MS),2016-01-01,1138
AHMEDNAGAR(MS),2002-02-01,164
AHMEDNAGAR(MS),2003-02-01,175
AHMEDNAGAR(MS),2004-02-01,470
AHMEDNAGAR(MS),2005-02-01,194
AHMEDNAGAR(MS),2006-02-01,193
AHMEDNAGAR(MS),2007-02-01,759
AHMEDNAGAR(MS),2008-02-01,289
AHMEDNAGAR(MS),2009-02-01,767
AHMEDNAGAR(MS),2010-02-01,813
AHMEDNAGAR(MS),2013-02-01,1600
AHMEDNAGAR(MS),2014-02-01,486
AHMEDNAGAR(MS),2015-02-01,989
AHMEDNAGAR(MS),2016-02-01,800
AHMEDNAGAR(MS),2003-03-01,185
AHMEDNAGAR(MS),2004-03-01,333
AHMEDNAGAR(MS),2005-03-01,208
AHMEDNAGAR(MS),2006-03-01,188
AHMEDNAGAR(MS),2007-03-01,495
AHMEDNAGAR(MS),2008-03-01,268
AHMEDNAGAR(MS),2009-03-01,534
AHMEDNAGAR(MS),2010-03-01,508
AHMEDNAGAR(MS),2011-03-01,440
AHMEDNAGAR(MS),2014-03-01,598
AHMEDNAGAR(MS),2015-03-01,821
AHMEDNAGAR(MS),2002-04-01,154
AHMEDNAGAR(MS),2003-04-01,232
AHMEDNAGAR(MS),2004-04-01,253
AHMEDNAGAR(MS),2005-04-01,207
AHMEDNAGAR(MS),2007-04-01,450
AHMEDNAGAR(MS),2008-04-01,250
AHMEDNAGAR(MS),2009-04-01,410
AHMEDNAGAR(MS),2010-04-01,408
AHMEDNAGAR(MS),2011-04-01,425
AHMEDNAGAR(MS),2014-04-01,674
AHMEDNAGAR(MS),2015-04-01,805
AHMEDNAGAR(MS),2002-05-01,158
AHMEDNAGAR(MS),2003-05-01,260
AHMEDNAGAR(MS),2004-05-01,263
AHMEDNAGAR(MS),2005-05-01,223
AHMEDNAGAR(MS),2007-05-01,368
AHMEDNAGAR(MS),2008-05-01,205
AHMEDNAGAR(MS),2009-05-01,400
AHMEDNAGAR(MS),2010-05-01,424
AHMEDNAGAR(MS),2014-05-01,731
AHMEDNAGAR(MS),2015-05-01,1008
AHMEDNAGAR(MS),2002-06-01,260
AHMEDNAGAR(MS),2003-06-01,325
AHMEDNAGAR(MS),2004-06-01,290
AHMEDNAGAR(MS),2005-06-01,306
