commodity,date,price
apple,2015-02-17,127.830002
apple,2015-02-18,128.720001
apple,2015-02-19,128.449997
apple,2015-02-20,129.5
apple,2015-02-23,133.0
apple,2015-02-24,132.169998
apple,2015-02-25,128.789993
apple,2015-02-26,130.419998
apple,2015-02-27,128.460007
apple,2015-03-02,129.089996
apple,2015-03-03,129.360001
apple,2015-03-04,128.539993
apple,2015-03-05,126.410004
apple,2015-03-06,126.599998
apple,2015-03-09,127.139999
apple,2015-03-10,124.510002
apple,2015-03-11,122.239998
apple,2015-03-12,124.449997
apple,2015-03-13,123.589996
apple,2015-03-16,124.949997
apple,2015-03-17,127.040001
apple,2015-03-18,128.470001
apple,2015-03-19,127.5
apple,2015-03-20,125.900002
apple,2015-03-23,127.209999
apple,2015-03-24,126.690002
apple,2015-03-25,123.379997
apple,2015-03-26,124.239998
apple,2015-03-27,123.25
apple,2015-03-30,126.370003
apple,2015-03-31,124.43
apple,2015-04-01,124.25
apple,2015-04-02,125.32
apple,2015-04-06,127.349998
apple,2015-04-07,126.010002
apple,2015-04-08,125.599998
apple,2015-04-09,126.559998
apple,2015-04-10,127.099998
apple,2015-04-13,126.849998
apple,2015-04-14,126.300003
apple,2015-04-15,126.779999
apple,2015-04-16,126.169998
apple,2015-04-17,124.75
apple,2015-04-20,127.599998
apple,2015-04-21,126.910004
apple,2015-04-22,128.619995
apple,2015-04-23,129.669998
apple,2015-04-24,130.279999
apple,2015-04-27,132.649994
apple,2015-04-28,130.559998
apple,2015-04-29,128.639999
apple,2015-04-30,125.150002
apple,2015-05-01,128.949997
apple,2015-05-04,128.699997
apple,2015-05-05,125.800003
apple,2015-05-06,125.010002
apple,2015-05-07,125.260002
apple,2015-05-08,127.620003
apple,2015-05-11,126.32
apple,2015-05-12,125.870003
apple,2015-05-13,126.010002
apple,2015-05-14,128.949997
apple,2015-05-15,128.770004
apple,2015-05-18,130.190002
apple,2015-05-19,130.070007
apple,2015-05-20,130.059998
apple,2015-05-21,131.389999
apple,2015-05-22,132.539993
apple,2015-05-26,129.619995
apple,2015-05-27,132.039993
apple,2015-05-28,131.779999
apple,2015-05-29,130.279999
apple,2015-06-01,130.539993
apple,2015-06-02,129.960007
apple,2015-06-03,130.119995
apple,2015-06-04,129.360001
apple,2015-06-05,128.649994
apple,2015-06-08,127.800003
apple,2015-06-09,127.419998
apple,2015-06-10,128.880005
apple,2015-06-11,128.589996
apple,2015-06-12,127.169998
apple,2015-06-15,126.919998
apple,2015-06-16,127.599998
apple,2015-06-17,127.300003
apple,2015-06-18,127.879997
apple,2015-06-19,126.599998
apple,2015-06-22,127.610001
apple,2015-06-23,127.029999
apple,2015-06-24,128.110001
apple,2015-06-25,127.5
apple,2015-06-26,126.75
apple,2015-06-29,124.529999
apple,2015-06-30,125.43
apple,2015-07-01,126.599998
apple,2015-07-02,126.440002
apple,2015-07-06,126.0
apple,2015-07-07,125.690002
apple,2015-07-08,122.57
apple,2015-07-09,120.07
apple,2015-07-10,123.279999
apple,2015-07-13,125.660004
apple,2015-07-14,125.610001
apple,2015-07-15,126.82
apple,2015-07-16,128.509995
apple,2015-07-17,129.619995
apple,2015-07-20,132.070007
apple,2015-07-21,130.75
apple,2015-07-22,125.220001
apple,2015-07-23,125.160004
apple,2015-07-24,124.5
apple,2015-07-27,122.769997
apple,2015-07-28,123.379997
apple,2015-07-29,122.989998
