commodity,date,price,region,source,price_change_pct,rolling_7,rolling_14,rolling_30,volatility,trend
abohar(pb),2005-01-01,446.0,india,fao,,,,,,
abohar(pb),2005-02-01,324.0,india,fao,-0.273542600896861,,,,,
abohar(pb),2005-03-01,322.0,india,fao,-0.006172839506172867,,,,,
abohar(pb),2005-05-01,475.0,india,fao,0.47515527950310554,,,,,
abohar(pb),2005-06-01,318.0,india,fao,-0.33052631578947367,,,,,
abohar(pb),2005-07-01,348.0,india,fao,0.09433962264150941,,,,,
abohar(pb),2005-08-01,499.0,india,fao,0.4339080459770115,390.2857142857143,,,79.75945980616612,
abohar(pb),2005-09-01,963.0,india,fao,0.9298597194388778,464.14285714285717,,,232.69538641138303,
abohar(pb),2005-10-01,1217.0,india,fao,0.2637590861889927,591.7142857142857,,,355.46106879456073,
abohar(pb),2005-11-01,700.0,india,fao,-0.42481511914543957,645.7142857142857,,,335.8281873645681,
abohar(pb),2005-12-01,602.0,india,fao,-0.14,663.8571428571429,,,328.41712733018284,
abohar(pb),2006-01-01,563.0,india,fao,-0.06478405315614622,698.8571428571429,,,296.96432365489557,
abohar(pb),2006-02-01,380.0,india,fao,-0.32504440497335707,703.4285714285714,,,290.8463839342327,
abohar(pb),2006-03-01,391.0,india,fao,0.02894736842105261,688.0,539.1428571428571,,305.96949739039894,
abohar(pb),2006-04-01,366.0,india,fao,-0.06393861892583119,602.7142857142857,533.4285714285714,,299.67967025126137,
abohar(pb),2006-05-01,390.0,india,fao,0.06557377049180335,484.57142857142856,538.1428571428571,,134.81080216715694,
abohar(pb),2006-06-01,300.0,india,fao,-0.23076923076923073,427.42857142857144,536.5714285714286,,110.93820673819111,
abohar(pb),2006-09-01,417.0,india,fao,0.3899999999999999,401.0,532.4285714285714,,80.19559422644888,
abohar(pb),2007-06-01,700.0,india,fao,0.6786570743405276,420.57142857142856,559.7142857142857,,128.493653725073,
abohar(pb),2007-07-01,800.0,india,fao,0.1428571428571428,480.57142857142856,592.0,,189.81733073568122,
abohar(pb),2007-08-01,1500.0,india,fao,0.875,639.0,663.5,,422.6302560552585,
abohar(pb),2009-10-01,1664.0,india,fao,0.10933333333333328,824.4285714285714,713.5714285714286,,548.8028963549838,
abohar(pb),2009-11-01,1497.0,india,fao,-0.10036057692307687,982.5714285714286,733.5714285714286,,562.089511597236,
